county,precinct,office,district,party,candidate,votes,vtd
Ford,Bucklin City,President,,Republican,"Trump, Donald J.",278,20
Ford,Bucklin Township,President,,independent,"Stein, Jill",0,30
Ford,Bucklin Township,President,,Write-ins,"Basiago, Andrew D.",0,30
Ford,Bucklin Township,President,,Write-ins,"Castle, Darrell L",0,30
Ford,Bucklin Township,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,30
Ford,Bucklin Township,President,,Write-ins,"Giordani, Rocky",0,30
Ford,Bucklin Township,President,,Write-ins,"Hedges, James A",0,30
Ford,Bucklin Township,President,,Write-ins,"Hoefling, Tom",0,30
Ford,Bucklin Township,President,,Write-ins,"Kahn, Lynn",0,30
Ford,Bucklin Township,President,,Write-ins,"La Riva, Gloria",0,30
Ford,Bucklin Township,President,,Write-ins,"Levinson, Michael S.",0,30
Ford,Bucklin Township,President,,Write-ins,"Maturen, Michael A",0,30
Ford,Bucklin Township,President,,Write-ins,"McMullin, Evan",1,30
Ford,Bucklin Township,President,,Write-ins,"Moorehead, Monica G.",0,30
Ford,Bucklin Township,President,,Write-ins,"Perry, Darryl",0,30
Ford,Bucklin Township,President,,Write-ins,"Schoenke, Marshall R.",0,30
Ford,Bucklin Township,President,,Write-ins,"Schriner, Joe C",0,30
Ford,Bucklin Township,President,,Write-ins,"Smith, Mike",0,30
Ford,Bucklin Township,President,,Write-ins,"Sood, Ajay",0,30
Ford,Bucklin Township,President,,Write-ins,"Sterling, Shawna",0,30
Ford,Bucklin Township,President,,Write-ins,"Valdivia, Anthony J",0,30
Ford,Bucklin Township,President,,Write-ins,"Vogel-Walcutt, J.J.",0,30
Ford,Bucklin Township,President,,Write-ins,"Wysinger, Demetra Jefferson",0,30
Ford,Bucklin Township,President,,Democratic,"Clinton, Hillary Rodham",3,30
Ford,Bucklin Township,President,,Libertarian,"Johnson, Gary",4,30
Ford,Bucklin Township,President,,Republican,"Trump, Donald J.",55,30
Ford,Concord Township,President,,independent,"Stein, Jill",1,40
Ford,Concord Township,President,,Write-ins,"Basiago, Andrew D.",0,40
Ford,Concord Township,President,,Write-ins,"Castle, Darrell L",0,40
Ford,Concord Township,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,40
Ford,Concord Township,President,,Write-ins,"Giordani, Rocky",0,40
Ford,Concord Township,President,,Write-ins,"Hedges, James A",0,40
Ford,Concord Township,President,,Write-ins,"Hoefling, Tom",0,40
Ford,Concord Township,President,,Write-ins,"Kahn, Lynn",0,40
Ford,Concord Township,President,,Write-ins,"La Riva, Gloria",0,40
Ford,Concord Township,President,,Write-ins,"Levinson, Michael S.",0,40
Ford,Concord Township,President,,Write-ins,"Maturen, Michael A",0,40
Ford,Concord Township,President,,Write-ins,"McMullin, Evan",0,40
Ford,Concord Township,President,,Write-ins,"Moorehead, Monica G.",0,40
Ford,Concord Township,President,,Write-ins,"Perry, Darryl",0,40
Ford,Concord Township,President,,Write-ins,"Schoenke, Marshall R.",0,40
Ford,Concord Township,President,,Write-ins,"Schriner, Joe C",0,40
Ford,Concord Township,President,,Write-ins,"Smith, Mike",0,40
Ford,Concord Township,President,,Write-ins,"Sood, Ajay",0,40
Ford,Concord Township,President,,Write-ins,"Sterling, Shawna",0,40
Ford,Concord Township,President,,Write-ins,"Valdivia, Anthony J",0,40
Ford,Concord Township,President,,Write-ins,"Vogel-Walcutt, J.J.",0,40
Ford,Concord Township,President,,Write-ins,"Wysinger, Demetra Jefferson",0,40
Ford,Concord Township,President,,Democratic,"Clinton, Hillary Rodham",8,40
Ford,Concord Township,President,,Libertarian,"Johnson, Gary",0,40
Ford,Concord Township,President,,Republican,"Trump, Donald J.",43,40
Ford,Dodge City Precinct 01,President,,independent,"Stein, Jill",10,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Basiago, Andrew D.",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Castle, Darrell L",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Giordani, Rocky",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Hedges, James A",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Hoefling, Tom",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Kahn, Lynn",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"La Riva, Gloria",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Levinson, Michael S.",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Maturen, Michael A",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"McMullin, Evan",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Moorehead, Monica G.",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Perry, Darryl",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Schoenke, Marshall R.",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Schriner, Joe C",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Smith, Mike",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Sood, Ajay",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Sterling, Shawna",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Valdivia, Anthony J",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Vogel-Walcutt, J.J.",0,00005A
Ford,Dodge City Precinct 01,President,,Write-ins,"Wysinger, Demetra Jefferson",0,00005A
Ford,Dodge City Precinct 01,President,,Democratic,"Clinton, Hillary Rodham",247,00005A
Ford,Dodge City Precinct 01,President,,Libertarian,"Johnson, Gary",32,00005A
Ford,Dodge City Precinct 01,President,,Republican,"Trump, Donald J.",251,00005A
Ford,Dodge City Airport,President,,independent,"Stein, Jill",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Basiago, Andrew D.",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Castle, Darrell L",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Giordani, Rocky",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Hedges, James A",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Hoefling, Tom",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Kahn, Lynn",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"La Riva, Gloria",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Levinson, Michael S.",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Maturen, Michael A",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"McMullin, Evan",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Moorehead, Monica G.",0,00005B
Ford,Dodge City Airport,President,,Write-ins,"Perry, Darryl",0,00005B
