Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Sure Johnson,Dane,43.005,-89.287,28,partially destroyed ,protected,,,,,,,,,,,,
Third Lake,Dane,43.058,-89.341,1,unknown,unprotected,,,,,,,,,,,,
Tracks,Dane,43.102,-89.361,2,unknown,unprotected,,,,,,,,,,,,
University Ridge,Dane,43.083,-89.428,4,destroyed,unprotected,,,,,,,,,,,,
Uphoff Ridge,Dane,43.016,-89.358,5,intact,unprotected,,,,,,,,,,,,
Vilas Circle Drive,Dane,43.069,-89.417,3,partially destroyed ,protected,,,,,,,,,,,,
Vilas Park,Dane,43.06,-89.419,11,partially destroyed ,protected,,,,,,,,,,,,
W. E. Colladay,Dane,42.964,-89.277,9,intact ,protected,,,,,,,,,,,,
Wa-che-et-cha,Dane,43.006,-89.307,3,partially destroyed,unprotected,,,,,,,,,,,,
Ward,Dane,43.042,-89.273,8,partially destroyed,unprotected,,,,,,,,,,,,
Warner Beach,Dane,43.127,-89.374,6,unknown,unprotected,,,,,,,,,,,,
West Point,Dane,43.116,-89.465,7,unknown,unprotected,,,,,,,,,,,,
Williams South #1,Dane,42.972,-89.24,3,unknown,unprotected,,,,,,,,,,,,
Williams South #2,Dane,42.974,-89.236,11,partially destroyed,unprotected,,,,,,,,,,,,
William's Woods,Dane,42.975,-89.233,8,unknown,unprotected,,,,,,,,,,,,
Williamson 1,Dane,43.032,-89.336,8,unknown,unprotected,,,,,,,,,,,,
Williamson Indian Cemetery,Dane,43.021,-89.327,2,destroyed,unprotected,,,,,,,,,,,,
Willow Drive,Dane,43.079,-89.418,4,intact,unprotected,,,,,,,,,,,,
Wingra,Dane,43.053,-89.433,16,destroyed,unprotected,,,,,,,,,,,,
Wingra Park,Dane,43.049,-89.432,6,unknown,unprotected,,,,,,,,,,,,
Winnequah Road,Dane,43.073,-89.331,3,unknown,unprotected,,,,,,,,,,,,
Woodward Shores,Dane,43.13,-89.388,29,partially destroyed,unprotected,,,,,,,,,,,,
Woodward Shores East,Dane,43.13,-89.4,10,destroyed,unprotected,,,,,,,,,,,,
Yahara #1,Dane,43.15,-89.414,3,destroyed,unprotected,,,,,,,,,,,,
Yahara Heights,Dane,43.16,-89.386,5,partially destroyed,unprotected,,,,,,,,,,,,
Yahara Hoyt,Dane,43.055,-89.326,20,unknown,unprotected,,,,,,,,,,,,
Zoo,Dane,43.062,-89.416,16,destroyed,unprotected,,,,,,,,,,,,
Army Ordinance Plant,Sauk,43.384,-89.729,1,unknown,unprotected,,,,,,,,,,,,
Atkinson,Sauk,43.56,-89.721,2,destroyed,unprotected,,,,,,,,,,,,
Badger,Sauk,43.204,-89.932,5,destroyed,unprotected,,,,,,,,,,,,
Bay,Sauk,43.375,-89.633,2,unknown,unprotected,,,,,,,,,,,,
Big Badger Curve,Sauk,43.355,-89.764,6,unknown,unprotected,,,,,,,,,,,,
Canfield,Sauk,43.469,-89.769,10,partially destroyed,unprotected,,,,,,,,,,,,
Carlson,Sauk,43.48,-89.673,5,unknown,unprotected,,,,,,,,,,,,
Case,Sauk,43.466,-89.755,13,destroyed,unprotected,,,,,,,,,,,,
Cemetery,Sauk,43.446,-89.736,5,intact,unprotected,,,,,,,,,,,,
Cook,Sauk,43.468,-89.693,3,intact,unprotected,,,,,,,,,,,,
Cornfield,Sauk,43.466,-89.724,8,destroyed,unprotected,,,,,,,,,,,,
Cornfield #2,Sauk,43.469,-89.724,13,unknown,unprotected,,,,,,,,,,,,
Council House/Remington,Sauk,43.466,-89.735,68,unknown,unprotected,,,,,,,,,,,,
Crandall,Sauk,43.468,-89.73,6,partially destroyed,unprotected,,,,,,,,,,,,
Delton,Sauk,43.605,-89.808,2,unknown,unprotected,,,,,,,,,,,,
Devil's Lake #1,Sauk,43.411,-89.725,1,intact ,protected,,,,,,,,,,,,
Devil's Lake #2,Sauk,43.432,-89.735,8,intact ,protected,,,,,,,,,,,,
Devil's Nose,Sauk,43.4,-89.668,1,unknown,unprotected,,,,,,,,,,,,
Draper's Creek,Sauk,43.453,-89.734,5,unknown,unprotected,,,,,,,,,,,,
Eagle (47-SK-0082),Sauk,43.38,-89.649,2,partially destroyed,unprotected,,,,,,,,,,,,
